Head,Message,Type
,"2,800 Rasin villagers living in fear after Karnal man succumbs to Covid-19",Genuine
,Central government has announced blanket holiday for schools/colleges in 4 states in India.,Fake
,Image of herd of deer sitting on a street interpreted as different locations in Sri Lanka and India.,Fake
,"Covid-19 state tally: Cases inch toward 900 in Maharashtra, Tripura reports first patient",Genuine
,"Delhi hospital staff come in contact with 2 Covid-19 patients,108 quarantined",Genuine
,"Covid-19 update: British PM Boris Johnson is in ICU, but not on ventilator, says minister",Genuine
, Indian Actor Kamal Hassan put under quarantine.,Fake
Go Corona Back,Image showing Indian Political party (DMK) workers demonstrating with Go Corona Back balloon.,Fake
,"In 5-point letter, Sonia Gandhi asks PM Modi to go into austerity mode",Genuine
,An image poster stating Indian religious leader Mata Amritanandamayi has hidden foreigners in her hermitage and not allowed them to be tested.,Fake
,Kailash Satyarthi brings focus on child protection during lockdown,Genuine
, China is seeking court’s approval to kill all who were tested positive with coronavirus.,Fake
," A 28-year-old doctor from Maharashtra, Dr. Maneesha Patil, died of Covid-19 while treating patients infected with coronavirus.",Fake
, Image of coffins from Italy showing carnage due to recent COVID-19 outbreak.,Fake
, Saddam Hussein in 90s talking about coronavirus to his cabinet and army that America has threatened him to spread this virus if he doesn’t follow their command.,Fake
,Bollywood superstar Aamir Khan donated Rs. 250 crore to tackle the novel coronavirus outbreak.,Fake
, China is planning to kill coronavirus patients.,Fake
,Coronavirus has gripped Italy with nobody willing to carry corpses off Italyâ€™s streets.,Fake
,Give more financial aid to states to combat coronavirus outbreak: Cong to Centre,Genuine
,"Karnataka: Farmers wash currency notes in water, fearing Covid-19 transmission",Genuine
," An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",Fake
,European Health Organization (EHO) announced that eating beaf can cure coronavirus.,Fake
,Coronavirus was found in meat (mutton).,Fake
," Press Release on movement restriction for COVID-19 outbreak by National Security Council, PMO (India).",Fake
,BMC Health Officials said that three doctors and 26 nurses tested positive for the novel Coronavirus at the Wockhardt Hospital in Mumbai Central. The facility has been sealed to prevent the spread of further infection.,Genuine
,With self-checkup you would not find if you are infected with coronavirus.,Genuine
,People behaving abnormally in China due to coronavirus.,Fake
,Centre must consider number of Covid-19 cases to allocate funds to states: Ahmed Patel,Genuine
,"Dr Devi Shetty office, in case you have heard that viral audio that tells people no need to test. ""Somebody is circulating this message on WhatsApp in the name of Dr. Shetty and people are believing and forwarding without even thinking"". Stop fwding crap.",Genuine
,"Covid-19 death toll in India rises to 62, cases to 2,547",Genuine
Licking dishes,The video belongs to Dawoodi Bohra society. In their tradition dishes are washed only after eating and licking the utensils. This is done so that no food grains are wasted.,Genuine
,"Over 30% of Indiaâ€™s total Covid-19 infections could have Markaz link, cases cross 3,500: Key developments",Genuine
,"Soap and water alone, when used as per the WHO handwashing guidelines, are effective and easy for killing coronavirus.Â ",Genuine
COVID 19 testing,"It is more than two months since the first observed COVID19 case was diagnosed in India. We still have minimal data to understand the epidemiological trajectory of COVID 19 in India. The biggest limitation for our analysis is that state-wise testing, detection, and case-specific details are not made available in the public domain.",Genuine
, Flower named Brahmkamal bloomed after decades due to the decrease of pollution caused by the lockdown.,Fake
, Indian Home ministry declares posting about COVID-19 on WhatsApp groups a punishable offence.,Fake
,"2,800 Rasin villagers living in fear after Karnal man succumbs to Covid-19",Genuine
," Finally India got its Coronavirus Dashboard. This is the official website for CORONA updates. This website is being updated every 4 hrs. You can scroll down for more details, you can know more about coronavirus outbreak in your state by placing your finger on your state on the map.",Fake
, AIIMS (Indian medical institute) team has said that Toddy has medicinal properties to cure coronavirus.,Fake
,Effects of coronavirus on an affected persons lip.,Fake
,lockdown: Lack of basic amenities force patients to stay in night shelters in Delhi,Genuine
,Smokers are likely to be more vulnerable to COVID-19 as the act of smoking means that fingers (and possibly contaminated cigarettes) are in contact with lips which increases the possibility of transmission of virus from hand to mouth. Smokers may also already have lung disease or reduced lung capacity which would greatly increase risk of serious illness.,Genuine
,Vaishnav priest Tamal Krishna Das was brutally attacked by goons at Imlital temple in Vrindavan. It has been reported that two of the assailants are Bangladeshi. How many Bangladeshi and Rohingya infiltrators have been ousted in the last six years?,Fake
,"Will not lie, Covid-19 cases in state rising, says Uddhav. Then explains",Genuine
,Image of dead bodies of coronavirus victims in Italy.,Fake
,"With 18 new positive cases, Haryana count rises to 62",Genuine
, There are 59 positive Coronavirus cases in Nagpur along with 3 doctors one of whom is on ventilator.,Fake
,"Vice President M Venkaiah Naidu, his wife light lamps in solidarity against coronavirus",Genuine
,Govt fears waste of milk & vegetables as enough local produce don't reach market,Genuine
,"Coronavirus lockdown: Deve Gowda appeals to PM Modi to look into issues of farmers, labourers",Genuine
,Indian Telecom company Jio announced a free recharge worth Rs 498 for all Indian citizens during Coronavirus lockdown,Fake
,"Covid-19 cases continue global advance, toll above 54,000",Genuine
,COVID-19: AIIMS Delhi doctor tests positive,Genuine
,71 Delhi Police personnel directed to be in quarantine,Genuine
,"Arunachal CM Khandu tweets 'lockdown will end on April 15', then deletes it",Genuine
,What awaits migrants when they reach home,Genuine
," Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",Fake
Burning of hands due to use of sanitiser,Woman burned her hands while putting on the stove due to high alcohol content in hand sanitiser.,Fake
,Man with travel history is Goaâ€™s 7th Covid-19 patient,Genuine
,102 new Covid-19 cases in Tamil Nadu; total 411,Genuine
, Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,Fake
, A video shows Delhi police apprehending a COVID-19 patient who was fleeing.,Fake
,â€˜Not fair to single out Tablighi Jamaat for Covid-19 spreadâ€™: Jagan Reddy,Genuine
, A video clip shows the hanging bodies of a mother and child who have committed suicide in Gujarat because they did not have food during the current COVID-19  lockdown.,Fake
,"In 5-point letter, Sonia Gandhi asks PM Modi to go into austerity mode",Genuine
,"Remember thatÂ  masks are not a substitute for other, more effective ways to protect yourself and others against COVID-19 such as frequently washing your hands, covering your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter from others. See basic protective measures against the new coronavirus for more information.",Genuine
, An Indian news channel claimed that coronavirus pandemic would affect 1.6 billion laborers in India.,Fake
, White House is selling commemorative Covid-19 coins for $100.,Fake
,Chinese converting to Islam after realising that no muslim was affected by #coronavirus #COVD19 in the country.,Fake
,"Political ideologies aside, MPs, experts come together to fight Covid-19",Genuine
,Italian President said that Italy has surrendered to the Coronavirus.,Fake
,"If it’s a disaster, you can count on them",Genuine
,With self-checkup you can find out if you are infected with coronavirus.,Fake
,Coronavirus crisis: Govt puts curbs on exports of diagnostic kits with immediate effect,Genuine
Smart cities monitoring COVID 19,"States with highest reported Covid-19 positive cases, say, Maharashtra, Tamil Nadu, Delhi, Kerala, Uttar Pradesh, Madhya Pradesh among others are using the command centres for CCTV Surveillance of public places, geographic information system (GIS) mapping of coronavirus positive cases, GPS tracking of healthcare workers.",Genuine
,Coronavirus-infected chicken found in Bengaluru.,Fake
,Coronavirus update: 16 Tablighi Jamaat members in Chhattisgarh booked for hiding travel details,Genuine
,People feel 50-80% Covid-19 news on social media 'Fake': Survey,Genuine
,Vaccines to cure COVID-19 are ready.,Fake
, A market in Mizoram state of India is practising social distancing amidst ongoing lockdown.,Fake
,Why are â€˜andh bhaktsâ€™ beating the policemanÂ ,Fake
Prince Charles recovery,"Indiaâ€™s Minister of State for AYUSH Shripad Naik held a press conference claiming that Prince Charles followed the rules of Ayurveda, due to which he is recovering so soon.",Fake
,"Covid-19 lockdown: 800 cameras, 15 drones are Jaipur Policeâ€™s eyes in the sky",Genuine
,Shaheen Bagh lionesses caught red-handed while indulging in prostitution,Fake
,Mumbai cyber police issues advisory on cyber crimes amid coronavirus lockdown,Genuine
Smart cities monitoring COVID 19,"In centres like Kanpur Smart City, Aligarh, Varanasi etc itracking of health services from the ICCC is being done. Telemedicine is offered through video conferencing facilities launched by the city administrations. In Aligarh, Doctors are deployed at Aligarh Smart City Integrated Command and Control Center (ICCC) during 11- 8 pm to enable telemedicine and video conferencing facility through a dedicated Whatsapp number",Genuine
, Chief Secretary of West Bengal was not following relaxing while the state was performing poorly as it fought COVID-19.,Fake
,"A 9 minute viral video in a woman claims India has entered stage-3 of COVID-19. She claims that her husband is employed with a major news channel and the information was passed to him by some Dr.Gyani who heads the Indian Covid team and asks people to stock up on food, medicines and baby food for one month. She also cautions people about the Army being deployed to enforce a strict lockdown in the upcoming days.",Fake
,Symptoms of COVID 19 and seasonal respiratory illness (common cold/flu) are similar. All people with these symptoms may not have COVID 19.,Genuine
, No more deaths from COVID-19 as Israel scientists have discovered a vaccine for COVID-19.,Fake
," Image of a doctor smoking while treating COVID patients in Gujarat, India.",Fake
,Andhra Pradesh Chief Minister YS Jagan Reddy has claimed that â€˜Paracetamolâ€™ is the only medication for coronavirus.,Fake
,Assam govt will lift restrictions on intrastate movement of people for three days from April 25 to allow those stranded away from their homes due to the lockdown to return to their families: Health Minister Himanta Biswa Sarma,Genuine
, A video showing a police officer briefing about cases being registered against the WhatsApp group admins is shared in the context of coronavirus lockdown.,Fake
,"Covid-19 update: New York gets 1,100 ventilators with help from China, Oregon",Genuine
,259 of 386 Covid-19 cases in national capital have Markaz link: Delhi health minister,Genuine
, Photo of Kanika Kapoor meeting Prince Charles during her recent visit to United Kingdom. Prince Charles was tested positive for coronavirus just after the meet.,Fake
All ages can be infected,"People of all ages can be infected by the new coronavirus (2019-nCoV). Older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus.Â ",Genuine
,A video allegedly showing Canadian Prime Minister Justin Trudeauâ€™s wife in a hospital bed urging people to stay home to avoid ending up seriously ill with the novel coronavirus has been shared thousands of times on Facebook and Twitter.,Fake
,Taking a hot bath will not prevent you from catching COVID-19,Genuine
Shoot at site Order,Indian state of Madhya Pradeshâ€™s Goverement have issued order of shoot at sight due to failure at lockdown implementation.,Fake
,"The video shows an express train leaving Asansol station and several open food packets strewn all over the platform. The people on board the train can be heard protesting and complaining, while the person recording the video, ridicules the administration for the food that was served to those travelling.",Fake
," The Disaster Management Act 2005 is going to be implemented in India, according to which no citizen is allowed to post any update or share any forward related to COVID-19.",Fake
,Indian state of Madhya Pradesh’s Goverement have issued order of shoot at sight due to failure at lockdown implementation.,Fake
,"The US has become the first country to exceed 100,000 confirmed coronavirus cases as Donald Trump signed into law the largest economic stimulus package in US history, a $2.2tn bill designed to rush federal assistance to workers and businesses.",Genuine
,"As, always clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose.
",Genuine
,"In the audio clip, a man introduces himself as a resident of City Light area of Surat, Gujarat and warns citizens about the â€˜unprecedentedâ€™ presence of Muslim hawkers in their area. He claims that while he was taking his morning walk he saw at least 15-16 three-wheeler tempos with Muslim boys selling vegetables and fruits. For instance, he says that he saw one person selling onions at prices lower than the market rates and questioned their motive for doing so. He then refers to a video of a fruit seller who was licking his fingers and touching fruits.Â ",Fake
, Aamir Khan donated 15000 Rs by hiding the money in ration materials for poor people amidst lockdown.,Fake
,Sadar becomes Lucknow's most sensitive zone with 60 cases,Genuine
,Change the mask every 6-8 hours or when it becomes moist,Genuine
, Bus driver in China vomits blood after becoming unconscious behind the wheel.,Fake
, WHO has released “protocols and procedures” of lockdown periods to fight Covid-19.,Fake
,"In the 45 seconds clip, one can hear passengers complaining to the flight crew on being made to sit next to each other instead of leaving a one-seat gap and that the airline was overcharging them but still failed to take adequate social distancing measures",Fake
,How to clean and sanitize your homemade masks every day,Genuine
, People’s Daily’s official twitter handle shared an old image as newly built hospital building in Wuhan,Fake
,Saddam Hussein predicted coronavirus outbreak 40 years ago.,Fake
,Covid-19:?Define social security for migrant workers | Opinion,Genuine
,"Coronavirus update: British PM Boris Johnson had oxygen support, not on ventilator, says minister",Genuine
, Muslims Intentionally Licking The Cutlery And Plates to spread COVID-19.,Fake
,"Vinay Dubeyâ€™s mother married a Muslim, Vinay Dubey fatherâ€™s name is Mahmood. He was deliberately named Vinay Dubey so that many Hindu brothers and sisters could be misled to think of him as a Hindu Brahmin. The is an important tactic of Jihadis to damage Hindutva and country",Fake
, Can dettol kill coronavirus?,Fake
P M Modi,PM Modi on 2nd April â€™20 announced extension of nationwide lockdown till 4 May 2020.,Fake
,Coronavirus: N?SA to be slapped against persons who attack policemen enforcing lockdown in UP,Genuine
,"â€˜Weâ€™re proud of youâ€™, Pak ATCâ€‰tells Air India",Genuine
,Audio claiming India would be put under a complete lockdown.,Fake
Tablighi Jamaat,"According to the Central government statement on Monday, at least 1,445 cases out of over 4000 positive Covid-19 infections across the country, were linked to the Tablighi Jamaat congregation in Delhi. Over 9,000 people had attended the religious gathering in Delhiâ€™s Nizamuddin in March, the government had said.",Genuine
," A solution of hot water, baking soda and lemon does not kill or cure COVID-19",Genuine
,the Maharasthra Medical Association has recruited six doctors from Sweden and are seeking approval from the PM.,Fake
,Coronavirus Discovered In Broilers Chicken.,Fake
,The video belongs to Dawoodi Bohra society. In their tradition dishes are washed only after eating and licking the utensils. This is done so that no food grains are wasted.,Genuine
,antibiotics  works against coronavirus,Fake
,"In a few weeks, Pune railway division to get 25 isolation coaches",Genuine
," In India from 24th March 2020 during lockdown all grocery, milk, chemist, vegetable shops will be open from 9.00 am to 11.30 am in the morning and 4.30 pm to 7.00 pm in the evening. Anybody found moving around after this or opening any kind of outlet will be strictly detained by the police. It also claims that no home deliveries will be available.",Fake
, An image of a baby born with deformities claims that the baby was suffering from Coronavirus.,Fake
, Image showing Indian Political party (DMK) workers demonstrating with Go Corona Back balloon.,Fake
,Sonia Gandhi's criticism of lockdown insensitive; this is not time for politics: BJP chief J P Nadda,Genuine
,Dogs were infected with coronavirus says a claim,Fake
Isolation beds by Indian Railways,"Indian Railways has prepared 40,000 isolation beds in 2,500 coaches. They are making 375 isolation beds daily and this is going on across 133 locations across the country: Lav Aggarwal, Joint Secretary, Health Ministry.",Genuine
,Muslim youth is spreading COVID-19 by licking plates in Nizzamuddin Markaz in India.,Fake
,"Vikas Bhadauria, a journalist withÂ ABP News, alsoÂ tweetedÂ the video claiming that a person infected with coronavirus committed suicide in the US",Fake
,"At the 11-second mark, a man can be heard giving directions to their current location. The instruction mentioned Mahalaxmi Nagar and Partabh Medical as landmarks. We performed a keyword search on Google and found that a medical store with the same name is located in Mahalaxmi Nagar, Indore.Â Just DialÂ lists the full address as G-1 577 /78 Sai Shraddha Apartment, Balaji Height Road, Mahalaxmi Nagar, Indore â€“ 452010, Near Water Tank. Alt News spoke with Vivek Sharma, inspector general (IG), Indore Police. He stated that the video is at least a week old and the claims made on social media are false.",Genuine
,Cow dung and cow urine can cure coronavirus.,Fake
, Indian Singer Kanika Kapoor met Prince Charles after which he tested positive for coronavirus.,Fake
,Video of whales spotted near Bombay High,Fake
,Karnataka moves SC against Kerala HC's direction on opening sealed Karnataka-Kerala border for Covid patients,Genuine
,Resume interstate traffic after â€˜comprehensive broad discussion: Bhupesh Baghel to PM,Genuine
,What CDC has to say on the usage of facemasks against Covid-19,Genuine
, With self-checkup you can find out if you are infected with coronavirus.,Fake
,"No, Delhi Health Minister did not say no one from Nizamuddin Markaz tested positive for COVID-19",Genuine
,"Vice President M Venkaiah Naidu, his wife light lamps in solidarity against coronavirus",Genuine
, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
,PM Modi asks ministers to list priority areas once lockdown ends,Genuine
,antibiotics  cures coronavirus,Fake
,"As per Intermediate book of Jantu-science, written by Dr. Ramesh Gupta. Mentioned the medicine of #CoronaVirus on page 1072. We can help effective people by this. ",Fake
," People violate social distancing protocol in a temple festival in Alappuzha, India.",Fake
, Anti-Malaria Drug Chloroquine Is A Cure For coronavirus.,Fake
,Regularly and thoroughly clean your hands with an alcoholbased hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.,Genuine
,Covid-19: West Bengal FM urges Nirmala Sitharaman to release state’s Revenue Deficit Grant in 3 installments,Genuine
, A video shows man claiming to be of Tablighi Jamaat (a Muslim group) spitting on police when they were putting him into quarantine.,Fake
,Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,Fake
, The viral post claims that Aajtak news channel shows lockdown is withdrawn at few places while India Today news channel shows it is extended till May 4.,Fake
,"n their conversation, the actors give the following details about the coronavirus.1. Man-made mutant virus.2. Mortality rate of 90%.3. Attacks the lungs within 5 minutes of exposure.Social media users have used the conversation to claim that the show predicted the COVID-19 pandemic.",Fake
, Video of whales spotted near Bombay High,Fake
, Coronavirus patients in China are being caught by officials on a highway.,Fake
,Terror threat to UK hospitals during coronavirus lockdown: Officer,Genuine
,This is a picture of the old city in Hyderabad (India) today despite the lockdown.,Fake
,Demon creature flying above a Church in Italy.,Fake
,"Covid-19: Rush for masks, toilet paper slows Japan’s household spending decline",Genuine
,"Centre asks states, UTs to strictly comply with COVID-19 lockdown guidelines, not dilute them",Genuine
,"16 coronavirus cases in Andhra Pradesh, tally jumps to 180",Genuine
,"The most important thing to know about coronavirus on surfaces is that they can easily be cleaned with common household disinfectants that will kill the virus. Studies have shown that the COVID-19 virus can survive for up to 72 hours on plastic and stainless steel, less than 4 hours on copper and less than 24 hours on cardboard.
",Genuine
,Government of an Indian state Madhya Pradesh ordered shoot-at-sight to enforce lockdown.,Fake
,300 people are Corona positive due to a monk's chillum! Incident of transport nagar in Jaipur,Fake
,People were screaming in Wuhan because they feared the coronavirus.,Fake
," Coronavirus can be cured by sniffing clove and camphor and by drinking water, the virus will go to the stomach and the acid in the stomach will kill the virus.",Fake
,Govt initiates blacklisting proceedings against 360 foreign Tablighi Jamaat members,Genuine
,UV rays and sunlight can kill coronavirus.,Fake
,"Covid-19 death toll in India rises to 62, cases to 2,547",Genuine
, Weed kills coronavirus.,Fake
, Coronavirus found in Broiler Chicken.,Fake
, This is a picture of the old city in Hyderabad (India) today despite the lockdown.,Fake
, A viral video apparently showing Muslim devotees sneezing is circulated with the claim that it is from Nizamuddin mosque of Delhi and they are deliberately trying to get infected in order to spread coronavirus in India.,Fake
,Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,Fake
,"If I feel like sleeping, I will do that: Mamata on PM's call to light candles",Genuine
COVID 19 stage 3,"A 9 minute viral video in a woman claims India has entered stage-3 of COVID-19. She claims that her husband is employed with a major news channel and the information was passed to him by some Dr.Gyani who heads the Indian Covid team and asks people to stock up on food, medicines and baby food for one month. She also cautions people about the Army being deployed to enforce a strict lockdown in the upcoming days.",Fake
, News about COVID-19 can only be shared after seeking the government’s permission.,Fake
,"About 40,000 Indian seafarers stranded across globe on account of lockdown: Maritime bodies",Genuine
,"Â The note said that in the light of a large religious gathering at Delhiâ€™s Nizamuddin being identified as a virus hotspot, Hindus should boycott Muslim vendors selling fruits and vegetables. â€œThey are coming to Hindu areas and doing this Jihadi act of spitting in these areas,â€ claims the note.",Fake
,"chanting vedic mantras cure corona because the frequency it generates vibrates with the entire universe which coronavirus cannot handle,thus killing them",Fake
,â€œArsenic album-30 homeopathic medicine can prevent coronavirus. Information given by Ministry of AYUSH.â€,Fake
,"heck all fruit and vegetable vendors properly. Since 2-3 days around 6-7 am, two vendors were seen in Mahalaxmi Nagar. Since they were coming early in the morning, people had their doubt. When some people asked their names, they went mum. In a matter of a few minutes, they said their name is Shiva, Mukesh, Dinesh and said they didnâ€™t have identity cards on them. The vendors were stopped. When the police came to enquire they found out the boys were Muslim. That means, there is something really wrong. Please be alert.",Fake
, People in Italy are throwing money on the road as they are saddened by the fact that all the money in the world could save their dear ones.,Fake
Transmission through mosquito bites,To date there has been no information nor evidence to suggest that the new coronavirus could be transmitted by mosquitoes.,Genuine
, Israel and USA have come up with a vaccine.,Fake
, Justin Trudeau’s wife has released a video from hospital bed.,Fake
, Viral post along with a pictures claims civilian thrashing a policeman during lockdown.,Fake
, People were screaming in Wuhan because they feared the coronavirus.,Fake
," An audio clip claiming to be of renowned heart surgeon Dr Devi Shetty is going viral on Facebook, Twitter, and WhatsApp.",Fake
, Indian Police personel beaten by a person while enforcing lockdown. Claim made through an image.,Fake
,China asks for permission to kill 20000 infected cases.,Fake
,Economic decline due to Covid-19 will not help govtâ€™s tackle climate change,Genuine
,COVID-19: Bleak summer in Goa as beach shacks pack up,Genuine
,The Chinese Govt  has just released the name of the citizen of Wuhan who was the first carrier of the virus. His name is Sub ki Lee.,Fake
,Marathi newspaper reports conspiracy theory of Coronavirus being a bioweapon.,Fake
,Videos of Pigs being buried in China due to the coronavirus outbreak.,Fake
, Chicken causes coronavirus.,Fake
, Worst affected countries by coronavirus are along the same latitude.,Fake
,Hand dryers are not effective in killing the 2019-nCoV.,Genuine
,"NCW asks states to decongest jails for women inmates, improve healthcare facilities",Genuine
, Video shows bat infestation under a tiled roof claims to be the source of coronavirus in China’s Hubei.,Fake
, Indian state of Madhya Pradesh’s Goverement have issued order of shoot at sight due to failure at lockdown implementation.,Fake
,J&K political parties call amended domicile rules 'cosmetic',Genuine
,Can garlic soup cure coronavirus?,Fake
," A photo has been shared hundreds of times in multiple posts on Facebook and Twitter alongside a claim it shows the bodies of people who died in Italy after they became infected with the novel coronavirus, COVID-19.",Fake
, 1. Chinese Prime Minister Li Keqiang visited a mosque and seek protection to the country from coronavirus. ,Fake
, Images of money thrown on streets by helpless Italians.,Fake
,"Light diyas on Sunday at 9pm: Don’t believe in unscientific forwards, govt says",Genuine
,"We still do not know if a pregnant woman with COVID-19 can pass the virus to her foetus or baby during pregnancy or delivery. To date, the active virus has not been found in samples of amniotic fluid or breastmilk.",Genuine
," As per Home Ministry of India, sharing information related to the coronavirus is now a punishable offense.",Fake
,"Nod to Tablighi Jamaat gathering should have been denied, says Sharad Pawar",Genuine
,PM Modi’s ‘9 PM- 9 Mins’ appeal: People buy diyas in Patna,Genuine
,Liquor shop looted in Delhi amid lockdown,Genuine
, Coronavirus can live only up to 12 hours on any surface,Fake
,Image showing Indian Political party (DMK) workers demonstrating with Go Corona Back balloon.,Fake
,Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,Fake
Whatsapp alert,WhatsApp info regarding âˆš.1. âˆš = Message Sent 2. âˆšâˆš = Message Delivered  3. 2 Blue âˆšâˆš = Message Read 4. 3 Blue âˆšâˆšâˆš = Government has taken a Note 5. 2 Blue 1 Red âˆšâˆšâˆš = Government can take action against you 6.  à¤à¤• à¤¨à¥€à¤²à¥€ à¤”à¤° à¤¦à¥‹ à¤²à¤¾à¤² 1 Blue 2 Red âˆšâˆšâˆš = Government is screening your data 7. 3 Red âˆšâˆšâˆš =  Government has initiated action & you'll receive summons from court,Fake
,Indian state of Madhya Pradeshâ€™s Goverement have issued order of shoot at sight due to failure at lockdown implementation.,Fake
,Editors Guild objects to govt stand,Genuine
,"The Hindu: Dying woman molested, video shows",Fake
, “WORLD HEALTH ORGANISATION PROTOCOL  &PROCEDURE OF LOCKDOWN PERIODS FOR CONTROLLING  ON MOST DANGEROUS VIRUS,Fake
, Italians throwing money on streets amidst COVID19.,Fake
,Italian PM said that the country has surrendered to the COVID-19 pandemic.,Fake
Transmittion of virus in hot and humid climates,"From the evidence so far, the COVID-19 virus can be transmitted in ALL AREAS, including areas with hot and humid weather.",Genuine
,Designate officers to issue authorisation letters to key supply chain firms: Centre to states,Genuine
,COVID-19 case in east Indian state.,Fake
,Coronavirus: How to make a mask?,Genuine
,"4 youths have refused to undergo Coronavirus tests after they returned from Dubai, saying their religion doesnâ€™t permit them to do so.",Fake
,Mumbai cyber police issues advisory on cyber crimes amid coronavirus lockdown,Genuine
,Thane Municipal Corporation asks private hospitals to set up special OPD,Genuine
,Coronavirus can be transmitted through faeces,Fake
," Video of Byculla (Maharashtra, India) MLA Waris Pathan threatening police to open a mosque during the Indian lockdown.",Fake
,"Coronavirus update: BMC allocates Covid-19 hospitals for elderly, vulnerable",Genuine
,"People with COVID-19 generally develop signs and symptoms, including mild respiratory symptoms and fever, on an average of 5-6 days after infection (mean incubation period 5-6 days, range 1-14 days). Most people infected with COVID-19 virus have mild disease and recover.",Genuine
,Fourth case: Another woman from Hindpiri tested coronavirus positive,Genuine
,Aajtak news channel has run a news claiming that consuming a herbal plant â€ Tulsiâ€ will cure Coronavirus.,Fake
, Cov case in Uttar Pradesh district.,Fake
,PM Modi leads country in lighting diyas to express resolve to win anti-corona battle,Genuine
,Coronavirus: PM Modi chairs meeting with Council of Ministers,Genuine
,Railways in mission mode to prepare Covid-19 isolation coaches,Genuine
," A 9 minute viral video in a woman claims India has entered stage-3 of COVID-19. She claims that her husband is employed with a major news channel and the information was passed to him by some Dr.Gyani who heads the Indian Covid team and asks people to stock up on food, medicines and baby food for one month. She also cautions people about the Army being deployed to enforce a strict lockdown in the upcoming days.",Fake
,Govt mulls resuming manufacturing in industrial townships,Genuine
,Sample testing criteria for Covid-19 may be revised: Health Ministry,Genuine
,Oman is releasing special chemical into the sky to eradicate coronavirus with military helicopters.,Fake
,An Indian social activist was arrested when she tried to buy liquor during the lockdown period.,Fake
,"The Goa government has announced a community door-to-door survey to be completed in three days. Around 7,000 enumerators will be involved in surveying people across the state for flu-like symptoms and travel histories.",Genuine
," Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",Fake
,Italians are throwing their money on the streets as it is useless to them now in the time of Coronavirus scare.,Fake
,"antibiotics do not work against viruses, only bacteria",Genuine
, Video of Police in China taking into control suspected COVID-19 patients in the country.,Fake
,Innovations in times of Covid19,Genuine
,Pigs mulled in China blamed for coronavirus.,Fake
,Tiger at NYCâ€™s Bronx Zoo tests positive for coronavirus,Genuine
, A picture shows an eight-year-old boy infected with coronavirus. Prayers and shares on Facebook will help him.,Fake
,"Kanika Kapoor tests negative for Covid-19, will be kept under observation until she tests negative again",Genuine
,Petrol and diesel prices have come down by about Rs.2 in the last three weeks.,Genuine
,Video of passengers infected with Coronavirus on an Ethiopian Airlines flight from Italy that reached Addis Ababa airport.,Fake
," Seeing the rise of novel coronavirus in India, the World Health Organization (WHO) has recommended the government of India to lockdown the country from April 15 to June 15.",Fake
," After husband tested positive for coronavirus, wife fled from Bangalore to Agra in India.",Fake
,No more deaths from COVID-19 as Israel scientists have discovered a vaccine for COVID-19.,Fake
, Precautionary measures suggested by the UNICEF.,Fake
,Chennai continues to top the list of COVID19 cases in Tamil nadu,Genuine
,The video shows Muslims licking plates and spoons to spread the coronavirus.,Fake
," In surgical masks, the white filter side is supposed to be worn outside and the colored on the inside.",Fake
,"Covid-19 cases doubling in 4.1 days, Jamaat incident worsened coronavirus spread: Govt",Genuine
, A video showing a pile of corpses in Italy.,Fake
,Delhi adds more containment zones,Genuine
,Azim Premji donates 50000 crores. He is really a man of golden heart. #COVID,Fake
,"14-day isolation must for people out of quarantine, says new government rules",Genuine
,Indian army burning houses of Kashmiris.,Fake
, Video of police in China taking into control suspected COVID-19 patients in the country.,Fake
,"Lockdown not a solution, but a 'pause' button: Rahul Gandhi ",Genuine
,Railways take lead in essential supply with freight & parcel trains,Genuine
,Coronavirus is found in Broiler Chicken.,Fake
,Covid-19:â€‰Economic opportunities and challenges | Opinion,Genuine
,COVID-19: Over 400 more test positive; PM hints at 'staggered' exit post 21-day lockdown,Genuine
,"Indian Army has built a 1,000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.",Fake
,Countrymen showed unprecedented discipline and sense of service during lockdown: PM Modi,Genuine
,"India’s Minister of State for AYUSH Shripad Naik held a press conference claiming that Prince Charles followed the rules of Ayurveda, due to which he is recovering so soon.",Fake
,Spain’s daily coronavirus death toll falls for second day in row,Genuine
Preventing infection by eating garlic,"Garlic is a healthy food that may have some antimicrobial properties. However, there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus.",Genuine
